question,roberta,answers
Who had an 80s No 1 hit with Hold On To The Nights?,richard marx,['richard marx']
What is the Japanese share index called?,nikkei 225 stock average,['nikkei']
Who had a 70s No 1 hit with Kiss You All Over?,exile,['exile']
Kagoshima international airport is in which country?,japan,['japan']
What was Eddie Murphy's first movie?,the nutty professor,['48 hours']
Which musician founded the Red Hot Peppers?,jelly roll morton,['jelly roll morton']
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,stars on 45 medley,['stars on 45 medley']
Which musical featured the song The Street Where You Live?,my fair lady,['my fair lady']
Who was the last inmate of Spandau jail in Berlin?,rudolf hess,['rudolf hess']
Which volcano in Tanzania is the highest mountain in Africa?,mount kilimanjaro,['kilimanjaro']
